Question_Number,Part,Subject,Context_Passage,Question_English,Question_Hindi,Option_A_English,Option_A_Hindi,Option_B_English,Option_B_Hindi,Option_C_English,Option_C_Hindi,Option_D_English,Option_D_Hindi,Correct_Option_Key,Explanation_Hindi
1,Part A,Mathematics,"A rectangle has length 10 cm and width 5 cm.",What is the area of the rectangle?,आयत का क्षेत्रफल क्या है?,50 cm²,50 सेमी²,15 cm²,15 सेमी²,25 cm²,25 सेमी²,30 cm²,30 सेमी²,A,"क्षेत्रफल = लंबाई × चौड़ाई = 10 × 5 = 50 सेमी²"
2,Part A,Mathematics,"The sum of two numbers is 15.",If one number is 7, what is the other?,यदि एक संख्या 7 है, तो दूसरी संख्या क्या है?,8,8,9,9,7,7,6,6,A,"यदि एक संख्या 7 है और योग 15 है, तो दूसरी संख्या = 15 - 7 = 8"
3,Part B,Science,"Water boils at 100°C at sea level.",What is the boiling point of water at sea level?,समुद्र तल पर पानी का क्वथनांक क्या है?,90°C,90°C,100°C,100°C,110°C,110°C,120°C,120°C,B,"पानी का क्वथनांक समुद्र तल पर 100°C होता है"
4,Part B,Science,"Photosynthesis requires sunlight.",Which process requires sunlight?,कौन सी प्रक्रिया सूर्य के प्रकाश की आवश्यकता होती है?,Respiration,श्वसन,Photosynthesis,प्रकाश संश्लेषण,Digestion,पाचन,Excretion,उत्सर्जन,B,"प्रकाश संश्लेषण वह प्रक्रिया है जो सूर्य के प्रकाश की आवश्यकता होती है"
5,Part A,English,"Read the following sentence: 'The cat sat on the mat.'",What is the subject of this sentence?,इस वाक्य का कर्ता क्या है?,The cat,बिल्ली,The mat,चटाई,Sat,बैठी,On,पर,A,"वाक्य में 'The cat' कर्ता है क्योंकि यह कार्रवाई (sat) करने वाला है"
6,Part C,History,"India gained independence in 1947.",In which year did India gain independence?,भारत को किस वर्ष में स्वतंत्रता मिली?,1945,1945,1947,1947,1950,1950,1952,1952,B,"भारत को 15 अगस्त 1947 को स्वतंत्रता मिली"
7,Part C,Geography,"Mount Everest is the highest peak in the world.",Where is Mount Everest located?,माउंट एवरेस्ट कहाँ स्थित है?,India,भारत,Nepal,नेपाल,China,चीन,Both Nepal and China,नेपाल और चीन दोनों,D,"माउंट एवरेस्ट नेपाल और चीन की सीमा पर स्थित है"
8,Part A,Mathematics,"A circle has radius 5 cm.",What is the circumference of the circle? (π = 3.14),वृत्त की परिधि क्या है? (π = 3.14),15.7 cm,15.7 सेमी,31.4 cm,31.4 सेमी,78.5 cm,78.5 सेमी,25 cm,25 सेमी,B,"परिधि = 2πr = 2 × 3.14 × 5 = 31.4 सेमी"
9,Part B,Science,"The human body has 206 bones.",How many bones are in the human body?,मानव शरीर में कितनी हड्डियाँ होती हैं?,200,200,206,206,210,210,216,216,B,"वयस्क मानव शरीर में आमतौर पर 206 हड्डियाँ होती हैं"
10,Part A,English,"The word 'beautiful' is an adjective.",What type of word is 'beautiful'?,शब्द 'beautiful' किस प्रकार का शब्द है?,Noun,संज्ञा,Verb,क्रिया,Adjective,विशेषण,Adverb,क्रिया विशेषण,C,"'Beautiful' एक विशेषण है क्योंकि यह किसी संज्ञा की विशेषता बताता है"
