"Question_Number","Part","Subject","Context_Passage","Question_English","Question_Hindi","Option_A_English","Option_A_Hindi","Option_B_English","Option_B_Hindi","Option_C_English","Option_C_Hindi","Option_D_English","Option_D_Hindi","Correct_Option_Key","Explanation_Hindi"
"1","Part-I","Child Development and Pedagogy","","The main characteristic of basic instinct is that which is found","मूल प्रवृत्ति की एक प्रमुख विशेषता है जो पायी जाती है","Only in Cats and Rats","केवल चूहों तथा बिल्लियों में","Only in human beings","केवल मनुष्यों में","All organism and it is inborn and natural","सभी प्राणियों में तथा जन्मजात व प्राकृतिक होती है","Only in Artists","केवल कलाकारों में","c","मूल प्रवृत्ति की एक प्रमुख विशेषता यह है कि ये सभी प्राणियों में पायी जाती है तथा जन्मजात व प्राकृतिक होती है। मैक्डूगल के अनुसार- ""मूल प्रवृत्ति परम्परागत या जन्मजात मनोशारीरिक प्रवृत्ति हैं, जो प्राणी को किसी निश्चित वर्ग की वस्तु को देखने उसके प्रति ध्यान देने, उसे देखकर एक विशेष प्रकार की संवेगात्मक उत्तेजना का अनुभव करने और उससे सम्बन्धित एक विशेष ढंग से कार्य करने या कम से कम इस प्रकार की क्रिया के आवेग को अनुभव करने के लिए बाध्य करती है।"" मैक्डूगल ने मूल प्रवृत्तियों की निम्न विशेषताएँ बतायी हैं- 1. मूल प्रवृत्तियाँ जन्मजात होती हैं 2. मूल-प्रवृत्तियाँ सभी प्राणियों में एकसमान पायी जाती हैं 3. मूल प्रवृत्तियाँ आदत से भिन्न होती हैं। 4. मूल प्रवृत्तियाँ नष्ट नहीं होती हैं। चूंकि प्रश्न में पूछी गयी विशेषता मैक्डूगल के द्वारा दी गई विशेषताओं से समानता प्रदर्शित करती है जो कि विकल्प (c) में है अतः विकल्प (c) सही है।"
"2","Part-I","Child Development and Pedagogy","","The right to free and compulsory education for children between age group of 6-14 has been included in Indian Constitution as","भारतीय संविधान में 6-14 वर्ष के बच्चों के लिए निःशुल्क व अनिवार्य शिक्षा का अधिकार निम्न में शामिल है।","Article 15","अनुच्छेद 15 में","Article 26","अनुच्छेद 26 में","Article 45","अनुच्छेद 45 में","Article 21A","अनुच्छेद 21ए में","d","भारतीय संविधान में 6-14 वर्ष के बच्चों के लिए निःशुल्क व अनिवार्य शिक्षा का अधिकार अनु. 21(A) में शामिल है। अनु. 21(A) यह अनु. 86वें संविधान संशोधन 2002 द्वारा जोड़ा गया जिसमें 6 से 14 वर्ष के बच्चों के लिए निःशुल्क व अनिवार्य शिक्षा का अधिकार दिया गया है। अनु. 15 राज्य किसी भी नागरिक के साथ जाति, धर्म, लिंग, जन्म स्थान और वंश के आधार पर भेदभाव नहीं कर सकता है। अनु.- 26 धार्मिक कार्यों की स्वतंत्रता को दर्शाता है। अनु. 45 अनु. 45, 6 वर्ष से कम आयु के बालकों के लिए प्रारंभिक बाल्यावस्था देख-रेख और शिक्षा का उपबंध दर्शाता है। अनु-21 (A) प्रश्नानुसार सभी तथ्यों को दर्शाता है अतः विकल्प (d) सही है।"
"3","Part-I","Child Development and Pedagogy","","Kretschmer has classified the person in one of the following main types","क्रेशमर ने व्यक्ति को निम्न में से किस प्रमुख प्रकारों में वर्गीकृत किया है?","Athletic","सुडौलकाय","Asthenic","लम्बकाय","Picnic","गोलकाय","All of these","इनमें से सभी","d","शरीर रचना के दृष्टिकोण से क्रेशमर ने सन् 1925 में व्यक्तित्व को तीन प्रमुख प्रकारों में वर्गीकृत किया है- लम्बकाय (Asthenic)- इस प्रकार के व्यक्ति दुबले-पतले होते हैं, लम्बकाय व्यक्ति को कृशकाय भी कहा जाता है। इनका सिर लम्बा, भुजाएँ पतली, सीना छोटा, हॉथ-पैर लम्बे व पतले होते हैं। ये दूसरों की आलोचना करना पसंद करते हैं। सुडौलकाय (Athletic)- इस प्रकार के व्यक्ति हष्ठ-पुष्ठ और स्वस्थ होते हैं। इनका सीना चौड़ा, उभरी हुई मजबूत भुजाएँ होती हैं। ये दूसरों से इच्छानुसार समायोजन कर लेते हैं। सुडौलकाय व्यक्ति को पुष्टकाय भी कहा जाता है। गोलकाय (Pyknic)- इस प्रकार के व्यक्ति कद में नाटे, छोटे गोल और चर्बी वाले होते हैं। ये सामाजिक होते हैं। गोलकाय व्यक्तियों का स्थूलकाय भी कहा जाता है। - चूंकि ये सभी प्रकार क्रेशमर ने वगीकृत किये हैं अतः विकल्प (d) सहीं है।"
"4","Part-I","Child Development and Pedagogy","","Purpose of T.E.T. is measure which of the following?","टी.ई.टी. का उद्देश्य निम्न में किसका मापन है?","Aptitude","अभिक्षमता","Intelligence","बौद्धिक क्षमता","Attitude","अभिवृत्ति","Values","मुल्य","a","टी.ई.टी. का उद्देश्य अभिक्षमता का मापन करना है। अभिक्षमता/अभियोग्यता किसी क्षेत्र विशेष में व्यक्ति की कार्य कुशलता की विशिष्ट योग्यता या विशिष्ट क्षमता अथवा भावी सफलता के अनुमान को इंगित करती है। विशिष्ट अभिक्षमता परीक्षण किसी विशिष्ट क्षेत्र में व्यक्ति की अभिक्षमता का मापन करने के लिए प्रयोग की जाती है। टैक्सलर के अनुसार ""अभिक्षमता व्यक्ति में विद्यमान कोई दशा, गुण अर्थात् गुणों का समुच्चय होता है जा किसी ज्ञान, बोध, कौशल अथवा ज्ञान, बोध व कौशल के समीहन की उस सीमा का द्योतक होता है जिसे वह व्यक्ति उचित प्रशिक्षण में प्राप्त करने योग्य हो सकेगा।"" जैसे- टी.ई.टी. (शिक्षक पात्रता परीक्षा), यांत्रिक अभिक्षमता परीक्षण, चिकित्सीय अभिक्षमता परीक्षण आदि इसी प्रकार के परीक्षण के उदाहरण हैं।"
"5","Part-I","Child Development and Pedagogy","","Consolidation theory explain which of the following?","संघनन का सिद्धान्त निम्न में से किसकी व्याख्या करता है?","Memory","स्मृति","Learning","अधिगम","Motivation","अभिप्रेरणा","Creativity","सृजनात्मकता","a","संघनन का सिद्धान्त स्मृति की व्याख्या करता है। यह सिद्धांत मूल रूप से निर्णय निर्माण की प्रक्रिया तथा प्रस्तुतीकरण के तरीके को व्याख्यायित करता है। इस सिद्धांत के अनुसार मनुष्य के मस्तिष्क में असंख्य सूचनाएँ संघनित रहती हैं। मनुष्य वही सूचना के द्वारा निर्णय का निर्माण करता है जो समस्या समाधान में सहायक होती है। अतः वही व्यक्ति निर्णय निर्माण में दक्ष होगा जा सृजनशील होगा। संघनन का सिद्धांत मस्तिष्क में सूचनाओं के संचयन से सम्बन्धित है जबकि अधिगम, अभिप्रेरणा, सृजनात्मकता स संबंध नहीं रखता है अतः विकल्प (a) सही है"
"6","Part-I","Child Development and Pedagogy","","Who has given the Concept of Educational Quotient for backward children?","पिछड़े बालकों के लिए शैक्षिक लब्धि की अवधारणा किसने दी है?","Schonell","शोनल","Gorden","गार्डेन","Burton Hall","बर्टन हाल","Cyril Burt","सिरिल बर्ट","d","पिछड़े बालकों के लिए शैक्षिक लब्धि की अवधारणा सिरिल बर्ट ने दी है। बर्ट के अनुसार-जिस बालक की शैक्षिक लब्धि 85 से कम होती है उसे पिछड़ा बालक कहा जा सकता है। पिछड़े बालकों के शैक्षिक निष्पत्ति को प्राप्त करके प्रतिशत के अलावा प्रायः शैक्षिक लब्धि अर्थात् E.Q. के द्वारा व्यक्त करते हैं शैक्षिक लब्धि E.Q = शैक्षिक आयु (E.A.) / दैहिक आयु (C.A.) x 100 जहाँ E.A. = Educational age C.A. = Chronological age"
"7","Part-I","Child Development and Pedagogy","","Which among the following is different from characteristics of a good test?","निम्न में से कौन-सा एक उत्तम परीक्षण की विशेषताओं से भिन्न है?","Validity","वैधता","Reliability","विश्वसनीयता","Objectivity","वस्तुनिष्ठता","Aptitude","अभिक्षमता","d","अभिक्षमता किसी एक उत्तम परीक्षण की विशेषताओं से भिन्न है। डगलस व हॉलैण्ड के अनुसार उत्तम परीक्षा में अनेक विशेषताओं का होना आवश्यक है और ये विशेषताएँ प्रत्येक परीक्षण के निर्माण के आधारभूत सिद्धांत हो जाते हैं। चूंकि कोई भी परीक्षण, उत्तम तभी माना जायेगा जब उसमें वैधता, विश्वसनीयता, वस्तुनिष्ठता, व्यावहारिकता, सरलता जैसी विशेषताएँ शामिल हों जबकि अभिक्षमता एक उत्तम परीक्षण की विशेषताओं में नहीं आता है। अतः विकल्प (d) सही है।"
"8","Part-I","Child Development and Pedagogy","","Which of the following is not theory of intelligence?","निम्न में से कौन-सा बुद्धि का सिद्धान्त नहीं है?","Two factor theory","द्वि तत्व का सिद्धांत","Unifactor theory","एक तत्व का सिद्धांत","Theory of regression","प्रत्यागमन का सिद्धांत","Multifactor theory","बहुतत्व का सिद्धांत","c","प्रत्यागमन का सिद्धांत, बुद्धि के सिद्धांत से सम्बन्धित नहीं है। प्रत्यागमन का सिद्धांत- यह सिद्धांत वंशानुक्रम के सिद्धांत के अन्तर्गत आता है, जिसके प्रतिपादक 'मनोवैज्ञानिक सोरेन्सन' हैं। प्रत्यागमन के नियम के अनुसार 'संतान में माता-पिता के विपरीत गुण पाये जाते हैं।' सोरेन्सन के अनुसार- 'प्रतिभाशाली माता-पिता की कम प्रतिभाशाली संतान होने की प्रवृत्ति और निम्न कोटि के माता-पिता की कम निम्न कोटि की संतान होने की प्रवृत्ति प्रत्यागमन है।' जबकि द्वितत्व का सिद्धांत-स्पीयरमैन, एकतत्व का सिद्धांत-बिने टरमैन, स्टर्न, बहुतत्व का सिद्धांत-थार्नडाइक; ये सभी बुद्धि के सिद्धांत हैं जो प्रत्यागमन के सिद्धांत से भिन्न हैं। अत विकल्प (c) सही है।"
"9","Part-I","Child Development and Pedagogy","","Which one of following is not ductless glands?","निम्नलिखित में से कौन अन्तःस्रावी ग्रन्थि नहीं है?","Pituitary glands","पीयूष ग्रन्थि","Adrenal glands","एड्रिनल ग्रन्थि","Salivary glands","लार ग्रन्थि","Thyroid glands","थॉयराइड ग्रन्थि","c","लार ग्रन्थि को अन्तः स्त्रावी ग्रन्थि के अन्तर्गत नहीं माना जाता है। अन्तःस्त्रावी तंत्र के अन्तर्गत आठ मुख्य अंतःस्रावी ग्रंथियाँ जैसे पीयूष ग्रंथि, थायराइड ग्रंथि, वृक्क ग्रंथि (एड्रिनल ग्रंथि) अग्नाशय ग्रंथि, पैरा-थायराइड ग्रंथि, जनन ग्रंथि आती हैं जो रूधिर में तरह-तरह के हार्मोन्स छोड़ती हैं। ये हार्मोन्स शरीर के विभिन्न अंगों तक पहुंचकर उनके कार्यों को नियमित बनाते हैं। लार ग्रंथि एक बहिःस्रावी ग्रंथि है इसका अंतःस्रावी के अन्तर्गत नहीं रखा गया है। अतः विकल्प (c) सही है।"
"10","Part-I","Child Development and Pedagogy","","According to Piaget the second stage of cognitive development is-","पियाजे के अनुसार संज्ञानात्मक विकास की द्वितीय अवस्था है","Formal operations stage","औपचारिक संक्रिया अवस्था","Sensory motor stage","संवेदनात्मक गामक अवस्था","Pre-operational stage","पूर्व संक्रियात्मक अवस्था","Concrete operations stage","मूर्त संक्रिया अवस्था","c","पियाज के अनुसार संज्ञानात्मक विकास की द्वितीय अवस्था पूर्व संक्रियात्मक अवस्था है पियाजे ने संज्ञानात्मक विकास की चार अवस्थाएँ बतायी हैं- 1. संवेदी गामक अवस्था (जन्म से 2 वर्ष) 2. पूर्व संक्रियात्मक अवस्था (2 से 7 वर्ष) 3. मूर्त संक्रिया अवस्था (7 से 11 वर्ष) 4. औपचारिक संक्रिया अवस्था (11 से 15 वर्ष) चूंकि प्रश्नानुसार द्वितीय अवस्था पूर्व संक्रियात्मक अवस्था है अतः विकल्प (c) सही है।"
